"tab","column_position","column_name","type","required","purpose","layer","human_editable","notes"
"STG_ENG_GATES","1","gate_id","text","True","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","2","phase","text","True","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","3","status","text","True","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","4","decision","text","True","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","5","readiness","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","6","blockers","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","7","authorization_required","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","8","authorization_status","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","9","created_at","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","10","source_report","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","11","notes","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","1","run_id","text","True","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","2","phase","text","True","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","3","block","text","True","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","4","ok","text","True","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","5","decision","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","6","readiness","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","7","mode","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","8","report_json","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","9","dashboard_html","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","10","created_at","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","11","recommended_next","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","12","notes","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","1","term_id","text","True","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","2","term","text","True","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","3","definition","text","True","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","4","domain","text","True","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","5","source","text","False","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","6","status","text","False","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","7","owner","text","False","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","8","created_at","text","False","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","9","updated_at","text","False","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","10","notes","text","False","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_MANUALS","1","manual_id","text","True","Manual operativo por funcion, comando, gate o flujo.","human_interface","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_MANUALS","2","title","text","True","Manual operativo por funcion, comando, gate o flujo.","human_interface","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_MANUALS","3","section","text","True","Manual operativo por funcion, comando, gate o flujo.","human_interface","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_MANUALS","4","content","text","True","Manual operativo por funcion, comando, gate o flujo.","human_interface","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_MANUALS","5","applies_to","text","False","Manual operativo por funcion, comando, gate o flujo.","human_interface","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_MANUALS","6","status","text","False","Manual operativo por funcion, comando, gate o flujo.","human_interface","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_MANUALS","7","human_action","text","False","Manual operativo por funcion, comando, gate o flujo.","human_interface","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_MANUALS","8","created_at","text","False","Manual operativo por funcion, comando, gate o flujo.","human_interface","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_MANUALS","9","updated_at","text","False","Manual operativo por funcion, comando, gate o flujo.","human_interface","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_MANUALS","10","notes","text","False","Manual operativo por funcion, comando, gate o flujo.","human_interface","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","1","project_id","text","True","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","2","project_title","text","True","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","3","objective","text","True","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","4","status","text","True","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","5","readiness","text","False","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","6","current_phase","text","False","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","7","next_action","text","False","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","8","owner","text","False","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","9","created_at","text","False","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","10","updated_at","text","False","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_PROJECTS","11","notes","text","False","Controlar proyectos, objetivos, estado y proximo paso.","portfolio","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","1","task_id","text","True","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","2","project_id","text","True","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","3","title","text","True","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","4","status","text","True","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","5","priority","text","False","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","6","assigned_to","text","False","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","7","requires_human","text","False","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","8","evidence_path","text","False","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","9","created_at","text","False","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","10","due_at","text","False","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_TASKS","11","notes","text","False","Cola humana/sistema de tareas, prioridades y evidencias.","execution","True","Modelo local inicial para interfaz operativa Sheets"
